time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-06 00:00:00+00:00,20,11,89,45
2025-02-07 00:00:00+00:00,15,5,123,45
2025-02-08 00:00:00+00:00,39,7,125,20
2025-02-09 00:00:00+00:00,1,1,43,26
2025-02-10 00:00:00+00:00,22,12,123,49
2025-02-11 00:00:00+00:00,95,13,179,45
2025-02-12 00:00:00+00:00,9,6,87,43
2025-02-13 00:00:00+00:00,12,9,115,32
2025-02-14 00:00:00+00:00,91,5,152,48
2025-02-15 00:00:00+00:00,8,6,50,27
2025-02-16 00:00:00+00:00,6,4,108,31
2025-02-17 00:00:00+00:00,36,6,287,44
2025-02-18 00:00:00+00:00,65,9,194,46
2025-02-19 00:00:00+00:00,78,5,204,45
