time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-20 00:00:00+00:00,30,4,201,56
2025-02-21 00:00:00+00:00,98,14,374,58
2025-02-22 00:00:00+00:00,19,10,51,28
2025-02-23 00:00:00+00:00,59,5,72,31
2025-02-24 00:00:00+00:00,357,12,289,61
2025-02-25 00:00:00+00:00,16,10,174,73
2025-02-26 00:00:00+00:00,10,6,128,58
2025-02-27 00:00:00+00:00,28,10,126,62
2025-02-28 00:00:00+00:00,6,2,126,54
2025-03-01 00:00:00+00:00,9,6,62,27
2025-03-02 00:00:00+00:00,13,9,56,28
2025-03-03 00:00:00+00:00,53,9,184,64
2025-03-04 00:00:00+00:00,93,41,186,53
2025-03-05 00:00:00+00:00,35,14,155,45
