time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-15 00:00:00+00:00,8.0,6.0,50,27
2025-02-16 00:00:00+00:00,6.0,4.0,108,31
2025-02-17 00:00:00+00:00,36.0,6.0,287,44
2025-02-18 00:00:00+00:00,65.0,9.0,194,46
2025-02-19 00:00:00+00:00,79.0,6.0,210,47
2025-02-20 00:00:00+00:00,30.0,4.0,201,56
2025-02-21 00:00:00+00:00,98.0,14.0,374,58
2025-02-22 00:00:00+00:00,19.0,10.0,51,28
2025-02-23 00:00:00+00:00,59.0,5.0,72,31
2025-02-24 00:00:00+00:00,357.0,12.0,289,61
2025-02-25 00:00:00+00:00,16.0,10.0,174,73
2025-02-26 00:00:00+00:00,10.0,6.0,128,58
2025-02-27 00:00:00+00:00,28.0,10.0,126,62
2025-02-28 00:00:00+00:00,,,122,51
