time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-10 00:00:00+00:00,22,12,123,49
2025-02-11 00:00:00+00:00,95,13,179,45
2025-02-12 00:00:00+00:00,9,6,87,43
2025-02-13 00:00:00+00:00,12,9,115,32
2025-02-14 00:00:00+00:00,91,5,152,48
2025-02-15 00:00:00+00:00,8,6,50,27
2025-02-16 00:00:00+00:00,6,4,108,31
2025-02-17 00:00:00+00:00,36,6,287,44
2025-02-18 00:00:00+00:00,65,9,194,46
2025-02-19 00:00:00+00:00,79,6,210,47
2025-02-20 00:00:00+00:00,30,4,201,56
2025-02-21 00:00:00+00:00,98,14,374,58
2025-02-22 00:00:00+00:00,19,10,51,28
2025-02-23 00:00:00+00:00,53,3,68,28
